EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
114.1	20.5	-7487.49	4.99	13.13	3.33	27.14	40.84	60627	222.0	14778.0	15000.0
114.1	20.5	-7487.49	4.99	13.13	3.33	27.14	40.84	60628	223.0	14777.0	15000.0
113.5	20.5	-6749.21	3.38	11.65	1.57	21.91	40.84	60629	224.0	14776.0	15000.0
113.5	20.5	-6749.21	3.38	11.65	1.57	21.91	40.84	60630	225.0	14775.0	15000.0
113.5	20.5	-6048.09	5.97	10.6	3.78	41.89	40.84	60631	226.0	14774.0	15000.0
113.5	20.5	-6048.09	5.97	10.6	3.78	41.89	40.87	60632	227.0	14773.0	15000.0
113.5	20.5	-6033.14	7.7	10.19	9.87	53.91	40.9	60633	228.0	14772.0	15000.0
113.5	20.5	-6033.14	7.7	10.19	9.87	53.91	40.9	60634	229.0	14771.0	15000.0
113.5	20.5	-6139.53	8.72	10.25	13.86	61.41	40.9	60635	230.0	14770.0	15000.0
113.5	20.5	-6139.53	8.72	10.25	13.86	61.41	40.92	60636	231.0	14769.0	15000.0
113.5	20.5	-6260.44	9.57	10.39	11.7	67.32	40.94	60637	232.0	14768.0	15000.0
113.5	20.5	-6260.44	9.57	10.39	11.7	67.32	40.96	60638	233.0	14767.0	15000.0
112.8	20.4	-6355.71	10.18	10.49	12.21	73.18	40.98	60639	234.0	14766.0	15000.0
112.8	20.4	-6355.71	10.18	10.49	12.21	73.18	41.01	60640	235.0	14765.0	15000.0
112.8	20.4	-6430.91	10.66	10.56	14.56	76.75	41.04	60641	236.0	14764.0	15000.0
112.8	20.4	-6430.91	10.66	10.56	14.56	76.75	41.08	60642	237.0	14763.0	15000.0
112.8	20.4	-6510.37	11.06	10.55	17.25	77.33	41.11	60643	238.0	14762.0	15000.0
112.8	20.4	-6510.37	11.06	10.55	17.25	77.33	41.15	60644	239.0	14761.0	15000.0
112.8	20.4	-6551.82	11.41	10.45	13.63	77.79	41.18	60645	240.0	14760.0	15000.0
112.8	20.4	-6551.82	11.41	10.45	13.63	77.79	41.22	60646	241.0	14759.0	15000.0
112.8	20.4	-6584.72	11.55	10.35	15.82	82.0	41.27	60647	242.0	14758.0	15000.0
112.8	20.4	-6584.72	11.55	10.35	15.82	82.0	41.3	60648	243.0	14757.0	15000.0
110.3	20.7	-6602.23	11.65	10.38	17.99	81.56	41.34	60649	244.0	14756.0	15000.0
110.3	20.7	-6602.23	11.65	10.38	17.99	81.56	41.39	60650	245.0	14755.0	15000.0
110.3	20.7	-6619.75	11.74	10.37	19.23	80.84	41.44	60651	246.0	14754.0	15000.0
110.3	20.7	-6619.75	11.74	10.37	19.23	80.84	41.49	60652	247.0	14753.0	15000.0
110.3	20.7	-6633.42	11.88	10.32	16.55	82.21	41.53	60653	248.0	14752.0	15000.0
110.3	20.7	-6633.42	11.88	10.32	16.55	82.21	41.53	60654	249.0	14751.0	15000.0
110.3	20.7	-6633.42	11.88	10.32	16.55	82.21	41.53	60655	250.0	14750.0	15000.0
110.3	20.7	-6633.42	11.88	10.32	16.55	82.21	41.58	60656	251.0	14749.0	15000.0
110.3	20.7	-6638.55	11.95	10.3	20.05	81.13	41.64	60657	252.0	14748.0	15000.0
110.3	20.7	-6638.55	11.95	10.3	20.05	81.13	41.69	60658	253.0	14747.0	15000.0
108.1	20.6	-6645.38	11.93	10.17	19.73	83.89	41.74	60659	254.0	14746.0	15000.0
108.1	20.6	-6645.38	11.93	10.17	19.73	83.89	41.79	60660	255.0	14745.0	15000.0
108.1	20.6	-6649.23	12.08	10.18	18.03	82.43	41.84	60661	256.0	14744.0	15000.0
108.1	20.6	-6649.23	12.08	10.18	18.03	82.43	41.89	60662	257.0	14743.0	15000.0
108.1	20.6	-6657.35	12.09	10.2	17.65	82.68	41.95	60663	258.0	14742.0	15000.0
108.1	20.6	-6657.35	12.09	10.2	17.65	82.68	42.0	60664	259.0	14741.0	15000.0
108.1	20.6	-6659.06	12.02	10.15	20.74	84.67	42.06	60665	260.0	14740.0	15000.0
108.1	20.6	-6659.06	12.02	10.15	20.74	84.67	42.12	60666	261.0	14739.0	15000.0
108.1	20.6	-6657.77	12.06	10.17	19.91	82.45	42.19	60667	262.0	14738.0	15000.0
108.1	20.6	-6657.77	12.06	10.17	19.91	82.45	42.24	60668	263.0	14737.0	15000.0
106.4	20.7	-6664.18	12.01	10.13	22.74	84.77	42.28	60669	264.0	14736.0	15000.0
106.4	20.7	-6664.18	12.01	10.13	22.74	84.77	42.34	60670	265.0	14735.0	15000.0
106.4	20.7	-6661.62	12.08	10.17	19.42	83.18	42.4	60671	266.0	14734.0	15000.0
106.4	20.7	-6661.62	12.08	10.17	19.42	83.18	42.44	60672	267.0	14733.0	15000.0
106.4	20.7	-6666.32	12.02	10.13	21.53	84.99	42.49	60673	268.0	14732.0	15000.0
106.4	20.7	-6666.32	12.02	10.13	21.53	84.99	42.55	60674	269.0	14731.0	15000.0
106.4	20.7	-6664.18	12.08	10.11	19.77	84.02	42.6	60675	270.0	14730.0	15000.0
106.4	20.7	-6664.18	12.08	10.11	19.77	84.02	42.65	60676	271.0	14729.0	15000.0
106.4	20.7	-6667.17	12.06	10.26	21.28	81.1	42.7	60677	272.0	14728.0	15000.0
106.4	20.7	-6667.17	12.06	10.26	21.28	81.1	42.75	60678	273.0	14727.0	15000.0
105.2	20.4	-6666.75	12.06	10.07	20.22	85.34	42.81	60679	274.0	14726.0	15000.0
105.2	20.4	-6666.75	12.06	10.07	20.22	85.34	42.87	60680	275.0	14725.0	15000.0
105.2	20.4	-6665.46	12.1	10.13	18.94	84.23	42.92	60681	276.0	14724.0	15000.0
105.2	20.4	-6665.46	12.1	10.13	18.94	84.23	42.98	60682	277.0	14723.0	15000.0
105.2	20.4	-6666.75	12.0	10.2	21.55	81.98	43.04	60683	278.0	14722.0	15000.0
105.2	20.4	-6666.75	12.0	10.2	21.55	81.98	43.09	60684	279.0	14721.0	15000.0
105.2	20.4	-6664.18	12.09	10.17	21.45	83.48	43.14	60685	280.0	14720.0	15000.0
105.2	20.4	-6664.18	12.09	10.17	21.45	83.48	43.23	60686	281.0	14719.0	15000.0
105.2	20.4	-6659.91	12.14	10.07	17.1	85.18	43.32	60687	282.0	14718.0	15000.0
